brand_name,listing_id,offer_price,original_price,product_id,product_link,product_name
Rebozo,LSTTSHF68U8HZERQXKGWZGF7R,284,599,TSHF68U8HZERQXKG,http://flipkart.com/rebozo-solid-men-round-neck-black-t-shirt/p/itmf68zwdxgsg69y,Solid Men Round Neck Black T-Shirt
Aelomart,LSTTSHFKFFRPMDKZFJKJBRWAH,449,"1,499",TSHFKFFRPMDKZFJK,http://flipkart.com/aelomart-color-block-men-round-neck-red-white-grey-t-shirt/p/itm3643b7ce89b6a,"Color Block Men Round Neck Red, White, Grey T-Shirt"
Tripr,LSTTSHFNGTVUJXW2D9JVJUY9M,401,899,TSHFNGTVUJXW2D9J,http://flipkart.com/tripr-striped-men-v-neck-maroon-grey-t-shirt/p/itmb04e800f0d929,"Striped Men V Neck Maroon, Grey T-Shirt"
Metronaut,LSTTSHFC9KYUHUEVX2WIFWAZH,359,799,TSHFC9KYUHUEVX2W,http://flipkart.com/metronaut-printed-men-round-neck-black-t-shirt/p/itmfc9kytjjhycsz,Printed Men Round Neck Black T-Shirt
Billion,LSTTSHFMZ9QG2JHRCGYOHS9RJ,494,"1,099",TSHFMZ9QG2JHRCGY,http://flipkart.com/billion-printed-men-henley-neck-grey-t-shirt/p/itm194948fb3b83f,Printed Men Henley Neck Grey T-Shirt
UZEE,LSTTSHFCGDSEFH5DBUZLI5JFS,422,"1,199",TSHFCGDSEFH5DBUZ,http://flipkart.com/uzee-striped-men-round-crew-multicolor-t-shirt/p/itmfcgse8yxhausn,Striped Men Round or Crew Multicolor T-Shirt
Seven Rocks,LSTTSHEX9FKBV3KFARCC22UZD,369,"1,299",TSHEX9FKBV3KFARC,http://flipkart.com/seven-rocks-solid-men-v-neck-blue-t-shirt/p/itmf3yrgcnzrkbqb,Solid Men V Neck Blue T-Shirt
Lee,LSTTSHFNUNYG2JMP4NHN8G1SA,699,999,TSHFNUNYG2JMP4NH,http://flipkart.com/lee-printed-men-round-neck-green-t-shirt/p/itm7da21303c56c0,Printed Men Round Neck Green T-Shirt
Metronaut,LSTTSHFGP4F7ZEXRMHZYNKRYS,319,799,TSHFGP4F7ZEXRMHZ,http://flipkart.com/metronaut-printed-men-round-neck-dark-blue-t-shirt/p/itm4f68585ca9b61,Printed Men Round Neck Dark Blue T-Shirt
Rebozo,LSTTSHFPF59FUXVYGFVR0IQN7,254,599,TSHFPF59FUXVYGFV,http://flipkart.com/rebozo-solid-men-round-neck-black-t-shirt/p/itm887092e0f0811,Solid Men Round Neck Black T-Shirt
SEVEN ROCKS,LSTTSHFN7U2UYSQMPQR2JBPXZ,322,"1,299",TSHFN7U2UYSQMPQR,http://flipkart.com/seven-rocks-color-block-men-round-neck-multicolor-t-shirt/p/itm085735df544e3,Color Block Men Round Neck Multicolor T-Shirt
Seven Rocks,LSTTSHFMGKZ2YRMKXQRJBSHSL,312,"1,299",TSHFMGKZ2YRMKXQR,http://flipkart.com/seven-rocks-geometric-print-men-round-neck-blue-t-shirt/p/itm804c97195efef,Geometric Print Men Round Neck Blue T-Shirt
Purpleheart,LSTTSHF4WSUTM2RYZGNKRAIHD,299,"1,299",TSHF4WSUTM2RYZGN,http://flipkart.com/purpleheart-military-camouflage-men-round-crew-green-brown-t-shirt/p/itmf4wz7m97gayeu,"Military Camouflage Men Round or Crew Green, Brown T-Sh..."
Metronaut,LSTTSHFNXZFUYVZXBSZMSLVFC,449,999,TSHFNXZFUYVZXBSZ,http://flipkart.com/metronaut-washed-men-round-neck-blue-t-shirt/p/itm358c7690ef732,Washed Men Round Neck Blue T-Shirt
Metronaut,LSTTSHFJKFMMAA85KDFBDXWJY,404,899,TSHFJKFMMAA85KDF,http://flipkart.com/metronaut-solid-men-mandarin-collar-grey-t-shirt/p/itmd1ad58e8499b4,Solid Men Mandarin Collar Grey T-Shirt
Tap in,LSTTSHFGRTRHMF9AAJ52WB6OD,237,"1,195",TSHFGRTRHMF9AAJ5,http://flipkart.com/tap-solid-men-round-neck-blue-t-shirt/p/itm31f4e31f3f9a2,Solid Men Round Neck Blue T-Shirt
Gritstones,LSTTSHEH72FDR7UANHGPVFOPR,379,899,TSHEH72FDR7UANHG,http://flipkart.com/gritstones-solid-men-hooded-maroon-black-t-shirt/p/itmf3yvu2bvjjqh7,"Solid Men Hooded Maroon, Black T-Shirt"
Levi's,LSTTSHFGXHMSXPZ4KSDRRYLIC,699,999,TSHFGXHMSXPZ4KSD,http://flipkart.com/levi-s-solid-men-v-neck-green-t-shirt/p/itmfgxhjatqzjnue,Solid Men V Neck Green T-Shirt
Seven Rocks,LSTTSHF8VHHFXPEFHTRYMTRJP,350,"1,299",TSHF8VHHFXPEFHTR,http://flipkart.com/seven-rocks-solid-men-mandarin-collar-black-t-shirt/p/itmf8vzaep8enf2w,Solid Men Mandarin Collar Black T-Shirt
Wrangler,LSTTSHFGFFZQGYMFGFYXJADIO,"1,036","1,595",TSHFGFFZQGYMFGFY,http://flipkart.com/wrangler-solid-men-polo-neck-green-t-shirt/p/itmfgffx5hmat2rw,Solid Men Polo Neck Green T-Shirt
Harshys,LSTTSHFMV8TDHG9HY95QRNIIH,279,599,TSHFMV8TDHG9HY95,http://flipkart.com/harshys-graphic-print-men-round-neck-grey-t-shirt/p/itm50959c39c8a86,Graphic Print Men Round Neck Grey T-Shirt
Flying Machine,LSTTSHFBQSEKGZ6SJGBDHRC9S,699,999,TSHFBQSEKGZ6SJGB,http://flipkart.com/flying-machine-solid-men-polo-neck-yellow-t-shirt/p/itmfbqu7ev7gh3vz,Solid Men Polo Neck Yellow T-Shirt
FastColors,LSTTSHFGNCS92DCBEFZ6SL2VE,333,"1,999",TSHFGNCS92DCBEFZ,http://flipkart.com/fastcolors-solid-men-round-neck-maroon-black-grey-t-shirt/p/itmb12dc04a500d7,"Solid Men Round Neck Maroon, Black, Grey T-Shirt"
Veirdo,LSTTSHFGA6SEK2GDQYFJW01OT,599,"1,199",TSHFGA6SEK2GDQYF,http://flipkart.com/veirdo-printed-men-round-neck-multicolor-t-shirt/p/itmfgaehgjdpgwgr,Printed Men Round Neck Multicolor T-Shirt
UZEE,LSTTSHFEW8MQUVZTHZGCN7C9J,258,999,TSHFEW8MQUVZTHZG,http://flipkart.com/uzee-printed-men-round-neck-black-t-shirt/p/itmfey5hewfguzz5,Printed Men Round Neck Black T-Shirt
