brand_name,listing_id,offer_price,original_price,product_id,product_link,product_name
Aelomart,LSTTSHFBV7DBHAMSYNJOMI4IB,449,"1,499",TSHFBV7DBHAMSYNJ,http://flipkart.com/aelomart-solid-men-round-neck-white-blue-t-shirt/p/itmff86gst5s7nhv,"Solid Men Round Neck White, Blue T-Shirt"
Tripr,LSTTSHFEV6FQ2WZFXZ97LFQFY,401,899,TSHFEV6FQ2WZFXZ9,http://flipkart.com/tripr-graphic-print-men-round-neck-red-t-shirt/p/itmfew6u3g5v8kcb,Graphic Print Men Round Neck Red T-Shirt
Roden,LSTTSHFPJJ6CVHCYATFVLI2D4,449,"1,499",TSHFPJJ6CVHCYATF,http://flipkart.com/roden-striped-men-round-neck-yellow-t-shirt/p/itm7dd99f7d26984,Striped Men Round Neck Yellow T-Shirt
Tripr,LSTTSHFPDYZN8TBPU5HSPWSWV,322,"1,399",TSHFPDYZN8TBPU5H,http://flipkart.com/tripr-printed-men-round-neck-maroon-t-shirt/p/itm4c44607c4b070,Printed Men Round Neck Maroon T-Shirt
AD & AV,LSTTSHF7QAHXHPZGQS2SFM1YP,332,"1,199",TSHF7QAHXHPZGQS2,http://flipkart.com/ad-av-solid-men-v-neck-black-t-shirt/p/itmf7qdawjwjaehc,Solid Men V-Neck Black T-Shirt
Campus Sutra,LSTTSHFKYMHGERWKDAND906WN,540,999,TSHFKYMHGERWKDAN,http://flipkart.com/campus-sutra-tie-dye-men-polo-neck-blue-t-shirt/p/itm355ba9c30b95d,Tie & Dye Men Polo Neck Blue T-Shirt
United Colors of Benetton,LSTTSHFJHYAHZPRPRSZCJ3RIH,599,999,TSHFJHYAHZPRPRSZ,http://flipkart.com/united-colors-benetton-solid-men-round-neck-red-t-shirt/p/itm865baa95728d2,Solid Men Round Neck Red T-Shirt
Wrath,LSTTSHFGS22HZQRVGRTDDRCLG,419,"1,499",TSHFGS22HZQRVGRT,http://flipkart.com/wrath-color-block-men-round-neck-maroon-black-t-shirt/p/itmfgsbgxtub8kwu,"Color Block Men Round Neck Maroon, Black T-Shirt"
U.S. Polo Assn,LSTTSHFBDDKX77JHVFDH1NOXC,719,"1,199",TSHFBDDKX77JHVFD,http://flipkart.com/u-s-polo-assn-embroidered-men-round-neck-blue-t-shirt/p/itmfbddhbrudvypx,Embroidered Men Round Neck Blue T-Shirt
Maniac,LSTTSHFH9W8ZZMAPYXVIQKMNE,449,"1,069",TSHFH9W8ZZMAPYXV,http://flipkart.com/maniac-checkered-men-round-neck-dark-green-black-t-shirt/p/itmfhb9r2dfugxaq,"Checkered Men Round Neck Dark Green, Black T-Shirt"
AUSK,LSTTSHFGJAGBNM6QNG6H1UCIV,294,999,TSHFGJAGBNM6QNG6,http://flipkart.com/ausk-color-block-men-round-neck-white-blue-grey-t-shirt/p/itmb02eecfa630ae,"Color Block Men Round Neck White, Blue, Grey T-Shirt"
